Date,Open,High,Low,Close,Adj.Close,Volume
09-Oct-20,211.23,215.86,211.23,215.81,215.25,"2,64,58,000"
08-Oct-20,210.51,211.19,208.32,210.58,210.03,"1,99,25,800"
07-Oct-20,207.06,210.11,206.72,209.83,209.28,"2,56,81,100"
06-Oct-20,208.82,210.18,204.82,205.91,205.37,"2,85,54,300"
05-Oct-20,207.22,210.41,206.98,210.38,209.83,"2,13,31,600"
02-Oct-20,208,210.99,205.54,206.19,205.65,"3,31,54,800"
01-Oct-20,213.49,213.99,211.32,212.46,211.91,"2,71,58,400"
30-Sep-20,207.73,211.98,206.54,210.33,209.78,"3,37,80,700"
29-Sep-20,209.35,210.07,206.81,207.26,206.72,"2,42,21,900"
28-Sep-20,210.88,212.57,208.06,209.44,208.89,"3,20,04,900"
25-Sep-20,203.55,209.04,202.54,207.82,207.28,"2,94,37,300"
24-Sep-20,199.85,205.57,199.2,203.19,202.66,"3,12,02,500"
23-Sep-20,207.9,208.1,200.03,200.59,200.07,"3,08,03,800"
22-Sep-20,205.06,208.1,202.08,207.42,206.88,"3,35,17,100"
21-Sep-20,197.19,202.71,196.38,202.54,202.01,"3,98,39,700"
18-Sep-20,202.8,203.65,196.25,200.39,199.87,"5,52,25,300"
17-Sep-20,200.05,204.33,199.96,202.91,202.38,"3,40,11,300"
16-Sep-20,210.62,210.65,204.64,205.05,204.51,"2,63,28,100"
15-Sep-20,208.42,209.78,206.93,208.78,208.23,"2,18,23,900"
14-Sep-20,204.24,209.2,204.03,205.41,204.87,"3,03,75,800"
11-Sep-20,207.2,208.63,201.24,204.03,203.5,"3,36,20,100"
10-Sep-20,213.4,214.74,204.11,205.37,204.83,"3,54,61,500"
09-Sep-20,207.6,214.84,206.7,211.29,210.74,"4,56,79,000"
08-Sep-20,206.5,210.03,202.2,202.66,202.13,"5,29,24,300"
04-Sep-20,215.1,218.36,205.19,214.25,213.69,"5,96,64,100"
03-Sep-20,229.27,229.31,214.96,217.3,216.73,"5,84,00,300"
02-Sep-20,227.97,232.86,227.35,231.65,231.05,"3,40,80,800"
01-Sep-20,225.51,227.45,224.43,227.27,226.68,"2,57,91,200"
31-Aug-20,227,228.7,224.31,225.53,224.94,"2,87,74,200"
28-Aug-20,228.18,230.64,226.58,228.91,228.31,"2,62,92,900"
27-Aug-20,222.89,231.15,219.4,226.58,225.99,"5,76,02,200"
26-Aug-20,217.88,222.09,217.36,221.15,220.57,"3,96,00,800"
25-Aug-20,213.1,216.61,213.1,216.47,215.9,"2,30,43,700"
24-Aug-20,214.79,215.52,212.43,213.69,213.13,"2,54,60,100"
21-Aug-20,213.86,216.25,212.85,213.02,212.46,"3,62,49,300"
20-Aug-20,209.54,215,208.91,214.58,214.02,"2,69,81,500"
19-Aug-20,211.49,212.1,209.25,209.7,209.15,"2,76,27,600"
18-Aug-20,210.53,212.36,209.21,211.49,210.43,"2,13,36,200"
17-Aug-20,209.6,211.19,208.92,210.28,209.23,"2,01,84,800"
14-Aug-20,208.76,209.59,207.51,208.9,207.85,"1,79,58,900"
13-Aug-20,209.44,211.35,208.15,208.7,207.65,"2,25,88,900"
12-Aug-20,205.29,210.28,204.75,209.19,208.14,"2,80,41,400"
11-Aug-20,207.16,207.65,203.14,203.38,202.36,"3,64,46,500"
10-Aug-20,211.67,211.88,206.35,208.25,207.21,"3,67,16,500"
07-Aug-20,214.85,215.7,210.93,212.48,211.41,"2,77,89,600"
06-Aug-20,212.34,216.37,211.55,216.35,215.26,"3,26,56,800"
05-Aug-20,214.9,215,211.57,212.94,211.87,"2,88,58,600"
04-Aug-20,214.17,214.77,210.31,213.29,212.22,"4,92,80,100"
03-Aug-20,211.52,217.64,210.44,216.54,215.45,"7,89,83,000"
31-Jul-20,204.4,205.1,199.01,205.01,203.98,"5,12,48,000"
30-Jul-20,201,204.46,199.57,203.9,202.88,"2,50,79,600"
29-Jul-20,202.5,204.65,202.01,204.06,203.04,"1,96,32,600"
28-Jul-20,203.61,204.7,201.74,202.02,201.01,"2,32,51,400"
27-Jul-20,201.47,203.97,200.86,203.85,202.83,"3,01,60,900"
24-Jul-20,200.42,202.86,197.51,201.3,200.29,"3,98,27,000"
23-Jul-20,207.19,210.92,202.15,202.54,201.52,"6,74,57,000"
22-Jul-20,209.2,212.3,208.39,211.75,210.69,"4,96,05,700"
21-Jul-20,213.66,213.94,208.03,208.75,207.7,"3,81,05,800"
20-Jul-20,205,212.3,203.01,211.6,210.54,"3,68,84,800"
17-Jul-20,204.47,205.04,201.39,202.88,201.86,"3,16,35,300"
16-Jul-20,205.4,205.7,202.31,203.92,202.9,"2,99,40,700"
15-Jul-20,209.56,211.33,205.03,208.04,207,"3,21,79,400"
14-Jul-20,206.13,208.85,202.03,208.35,207.3,"3,75,91,800"
13-Jul-20,214.48,215.8,206.5,207.07,206.03,"3,81,35,600"
10-Jul-20,213.62,214.08,211.08,213.67,212.6,"2,61,77,600"
09-Jul-20,216.33,216.38,211.47,214.32,213.24,"3,31,21,700"
08-Jul-20,210.07,213.26,208.69,212.83,211.76,"3,36,00,000"
07-Jul-20,210.45,214.67,207.99,208.25,207.21,"3,36,00,700"
06-Jul-20,208.83,211.13,208.09,210.7,209.64,"3,18,97,600"
02-Jul-20,205.68,208.02,205,206.26,205.23,"2,93,15,800"
